sentence,snippets,target,sentiment_score,aspects,format,label
$ARIA This is the reason why shorts don't show up...long steady small climbs. The best way to accrue value. IMO,['long steady small climbs'],ARIA,0.484,['Stock/Price Action/Bullish/Bullish Behaviour'],post,0
UPDATE: Barclays Expects Gain After Settling With Lehman Bros Trustee,['After Settling With Lehman Bros Trustee'],Barclays,0.199,['Corporate/Legal'],headline,0
Glencore slumps 30 percent as debt fears grow,['debt fears grow'],Glencore,-0.781,['Corporate/Risks'],headline,2
Shares in BAE Systems hit 10-month high on rating upgrade,['hit 10-month high on rating upgrade'],BAE,0.905,['Stock/Coverage'],headline,0
Deutsche Bank Downgraded Starbucks Co. $SBUX https://t.co/QqlEvVwPMV https://t.co/f2PdQjuTHa,['Deutsche Bank Downgraded Starbucks'],SBUX,-0.611,['Stock/Coverage/AnalystRatings/Downgrade'],post,2
$spy $vxx $aapl the parties over loaded on $uvxy volatility is back,['volatility is back'],VXX,-0.223,['Market/Volatility],post,2
ITV share price: Group mulls takeover of Canada's Entertainment One,['Group mulls takeover of Canada's Entertainment One'],ITV,0.422,['Corporate/M&A/M&A'],headline,0
"$JE LOOKS like we are bouncing.  Would be nice to finish over $6 today, and make the hammer.  Nice volume from 5.77 bottom.  Fingers crossed",['LOOKS like we are bouncing'],JE,0.391,['Stock/Price Action/Bullish/Bullish Behavior'],post,0
$RDC Rowan Expands Share Repurchase Program to $150 million,['Rowan Expands Share Repurchase Program'],RDC,0.285,['Stock/Fundamentals/Share Buyback'],post,0
$BBRY nice bounce,['nice bounce'],BBRY,0.296,['Stock/Price Action/Bullish'],post,0
$aapl high of day just hit. Back at it tomorrow.,['high of day just hit.'],AAPL,0.394,['Stock/Price Action/Bullish/Bullish Behavior'],post,0
LSE gets Hong Kong regulatory nod to HK firms to become LSE members,['LSE gets Hong Kong regulatory nod'],LSE,0.247,['Corporate/Regulatory'],headline,0
LONDON MORNING BRIEFING: HSBC And Standard Chartered Shares Rise,['Shares Rise'],Standard Chartered,0.556,['Stock/Price Action/Bullish/Bullish Behaviour'],headline,0
"Tesla: Voluntary recall of 2,700 Model X vehicles, due to back seat issue. $TSLA https://t.co/NPAkc3U6GS","['Voluntary recall of 2,700 Model X vehicles']",TSLA,-0.327,['Corporate/Risks/Product Recall'],post,2
"$QIHU totally missed this one, was about to jump in on that 60 break test but didn't, congrats shorts",['congrats shorts'],QIHU,-0.494,['Stock/Price Action/Volatility/Short Selling'],post,2
Kinder Morgan and BP Form Joint Venture Limited Liability Company to Purchase ...,['form Joint Venture Limited Liability Company to Purchase ..'],Kinder Morgan,0.225,['Corporate/M&A/Joint Venture'],headline,0
$GRPN might be selling off ahead of $P earnings...,['might be selling off ahead'],P,-0.202,['Stock/Price Action/Bearish/Bearish Behavior'],post,2
2 Turnaround Buys For 2016? BHP Billiton plc And Home Retail Group Plc,['2 Turnaround Buys'],Home Retail Group,0.492,['Economy/Central Banks/Monetary Policy/Monetary Policy - SNB'],headline,0
$CTRP  breaking out here on good vol and a parser buy signal  ..noticed this on bob langs comments looking for 48 fast,['a parser buy signal'],CTRP,0.418,['Stock/Price Action/Bullish/Bullish Behavior'],post,0
stole my tweet. really wouldn't be surprised if we took out 423 and pinned around it RT @totalguru We could possibly even see425 today $AAPL,"[""wouldn't be surprised if we took out 423""]",AAPL,0.142,['Stock/Price Action'],post,0
Sainsbury sells unit to LloydsPharmacy,['sells unit to LloydsPharmacy'],Sainsbury,0.234,['Corporate/Sales/Deal'],headline,0
Why I'd Buy ARM Holdings plc And BHP Billiton plc Today,['Why I'd Buy ARM Holdings plc And BHP Billiton plc Today'],BHP Billiton,0.424,['Corporate/Reputation/Scoop'],headline,0
FTSE 100 flat; Standard Chartered leads risers,['flat; Standard Chartered leads risers'],Standard Chartered,0.589,['Stock/Price Action'],headline,0
$CRM Sep 40 calls are +35% since entry #BANG http://stks.co/deDm,['calls are +35% since entry'],CRM,0.519,['Stock/Price Action/Bullish/Bullish Behavior'],post,0
$VMW  Got a nice push today following small sweepers of May C this morning,['Got a nice push today'],VMW,0.28,['Stock/Price Action/Bullish'],post,0
$IWM buy programs popping $iwm for close print cheap money means higher stock prices $spy robot buying,['buy programs poppin'],SPY,0.529,['Stock/Price Action/Bullish/Bullish Behavior'],post,0
Aviva promises higher dividends to boost flagging share price,['higher dividends'],Aviva,0.281,['Corporate/Dividend Policy'],headline,0
Copper market may get a 2003-style supply shock from Glencore closures,['Copper market'],Glencore,-0.571,['Market/Market'],headline,2
$YHOO About to break out on the 5-min...,['About to break out on the 5-min'],YHOO,0.313,['Stock/Technical Analysis'],post,0
$LULU #Outlook #Q1 2013 #lost revenue in the range of $12 million to $17 million -not good,['#lost revenue in the range of $12 million to $17 million -not good'],LULU,-0.43,['Corporate/Sales'],post,2
"UK housing market steadies after Brexit dip, Persimmon says",['housing market'],Perssimon,0.339,['Market/Market'],headline,0
UPDATE 1-Dairy Crest loses a third of Morrisons milk contract,['Crest loses a third of Morrisons milk contract'],Morrisons,-0.161,['Corporate/Sales/Failed Contract Discussion'],headline,2
"$SLW is down, but weekly $34 calls (-28.95%), .23 x .25 have 321 volume. Worth a chance here, jmho: http://stks.co/1Qfg","['is down, but weekly $34 calls']",SLW,0.145,['Stock/Options'],post,0
$MTD (Mettler-Toledo) ready for a breakout,['ready for a breakout'],MTD,0.428,['Stock/Technical Analysis/Breakout'],post,0
Morrisons finance chief to fill gap as CEO leaves early,['fill gap as CEO leaves'],Morrisons,-0.114,['Corporate/Appointment'],headline,2
End Of Day Scan: Bullish MA  Crossovers $BBVA $PDS $NTLS $NGL $SBRCY $FGL $MTNOY $TTT  www.dailystockplays.com,['Bullish MA Crossovers'],TTT,0.457,['Stock/Technical Analysis'],post,0
Japan's Nikkei lands Financial Times in $1.3 billion deal,['lands Financial Times in $1.3 billion deal'],Nikkei,0.262,['Corporate/Sales/Deal'],headline,0
Double bottom with handle buy point of 56.49 $WMT http://chart.ly/ml857v3,['Double bottom with handle buy point'],WMT,0.654,['Stock/Technical Analysis'],post,0
$SONC Amazing run since middle of March - obvious that the quality/tastiness of their burgers is not being factored into this price advance,['Amazing run since middle of March'],SONC,0.492,['Stock/Price Action/Bullish'],post,0
Teva: FDA Approves Generic Version of AstraZeneca Heartburn Drug,['FDA Approves'],AstraZeneca,0.242,['Corporate/Regulatory'],headline,0
Glencore sees Tripoli-based NOC as sole legal seller of Libyan oil,['as sole legal seller of Libyan oil'],Glencore,0.037,['Corporate/Legal'],headline,1
"You know that back seat? Don't sit in it. - $TSLA -> Tesla recalls 2,700 Model X cars https://t.co/7J0Gwz89ZC","['Tesla recalls 2,700 Model X cars']",TSLA,-0.319,['Corporate/Risks/Product Recall'],post,2
Short interest increases yet again http://stks.co/e19h via @ryandetrick $SPY,['Short interest increases yet again'],SPY,-0.342,['Stock/Fundamentals/Short Interest Rate'],post,2
#Tesla Model S deliveries are up 35% in Germany - record deliveries in March [Chart] https://t.co/yCnClcBImV  $TSLA,['deliveries are up 35% in Germany - record deliveries in March'],TSLA,0.365,['Corporate/Sales'],post,0
Insurers: Admiral blows hot and cold but Aviva soars pre-Friends Life merger,['Admiral blows hot and cold'],Friends Life,0.053,['Stock/Price Action/Volatility/Stock Volatility'],headline,1
S&P downgrades Barclays and RBS on government bailout fears,['downgrades Barclays and RBS'],RBS,-0.53,['Stock/Coverage/AnalystRatings/downgrade'],headline,2
Berkshire Hathaway names Kara Raiguel to lead General Re unit,['names Kara Raiguel to lead General Re unit'],Berkshire,0.077,['Corporate/Appointment'],headline,1
$NVDA sideways,['sideways'],NVDA,0.0,['Stock/Price Action'],post,1
$FB watching for bounce tomorrow,['watching for bounce tomorrow'],FB,0.366,['Stock/Price Action/Bullish'],post,0
$AMZN Trailing 12 months operating cash flow rose 48% to $4.98 billion & free cash flow decreased 63% to $388 million http://stks.co/c06zG,['Trailing 12 months operating cash flow'],AMZN,-0.009,['Corporate/Financial/Accounting/Cash Flow'],post,1
Sainsbury sells unit to LloydsPharmacy,['sells unit to LloydsPharmacy'],Sainsbury,0.234,['Corporate/Sales/Deal'],headline,0
Morrisons and Debenhams surprise City with Christmas bounce back,['with Christmas bounce back'],Debenhams,0.573,['Stock/Price Action/Volatility'],headline,0
Randgold profit hit by poor gold price but dividend still increases,['dividend still increases'],Rangold,-0.052,['Corporate/Dividend Policy'],headline,1
"$HAL If bulls lucky enuff to get an upside gap fill, better take it. Wouldn't chase it here. http://stks.co/r12Us","['If bulls lucky enuff to get an upside gap fill,']",HAL,0.054,['Stock/Price Action/Bullish/Bullish Behavior'],post,1
Look at that $AMZN > 600,['Look at that $AMZN > 600'],AMZN,0.326,['Stock/Price Action/Bullish'],post,0
$BWLD bearish engulfing candle,['bearish engulfing candle'],BWLD,-0.532,['Stock/Technical Analysis'],post,2
UPDATE 1-Lloyds to cut 945 jobs as part of 3-year restructuring plan,['cut 945 jobs as part of 3-year restructuring plan'],Lloyds,-0.266,['Corporate/Strategy'],headline,2
SABMiller revenue hit by weaker EM currencies,['hit by weaker EM currencies'],SAB Miller,-0.439,['Market/Currency'],headline,2
"I'm liking the price action in $SWKS, currently @21.80 ; my target: 24.00+ before year end.","[""I'm liking the price action""]",SWKS,0.603,['Stock/Price Action'],post,0
AstraZeneca diabetes drug combination faces delay after FDA rebuff,['faces delay after FDA rebuf'],AstraZeneca,-0.391,['Corporate/Risks'],headline,2
SAB's Chairman Digs In With Board Divided on InBev Offer,['Digs In With Board Divided on InBev Offer'],SABMiller,0.016,['Corporate/Reputation/Dispute'],headline,1
$SPY Could the pride of social media be gettin ready to fall?  $FB - chart rolling over?,['chart rolling over'],SPY,-0.287,['Stock/Technical Analysis'],post,2
$GALE Breakout Coming Soon!,['Breakout Coming Soon!'],GALE,0.465,['Stock/Technical Analysis/Breakout'],post,0
MarketsBP promotes upstream boss to deputy CEO,['promotes upstream boss to deputy CEO'],BP,0.066,['Corporate/Appointment'],headline,1
Glencore sees Tripoli-based NOC as sole legal seller of Libyan oil,['as sole legal seller of Libyan oil'],Glencore,0.037,['Corporate/Legal'],headline,1
$PLUG bear raid,['bear raid'],PLUG,-0.48,['Stock/Price Action/Bearish'],post,2
My $DWA play up 6% today. I'm still skeptical. Will take profits. Not a time cheer,"[""I'm still skeptical. Will take profits""]",DWA,-0.088,['Stock/Price Action/Bearish'],post,1
"Sainsbury's, Asda, Tesco and Morrisons will all cut petrol prices as oil falls ...",['will all cut petrol prices as oil falls ...'],Morrisons,-0.251,['Stock/Price Action/Future Price'],headline,2
Novartis buys remaining rights to GSK treatment in deal up to $1 billion,['buys remaining rights to GSK treatment in deal up to $1 billion'],Novartis,0.217,['Corporate/Sales/Deal'],headline,0
UPDATE 1-BP shareholders back more disclosure on climate change risks,['shareholders back more disclosure on climate change risks'],BP,0.037,['Corporate/Risks'],headline,1
"You know that back seat? Don't sit in it. - $TSLA -> Tesla recalls 2,700 Model X cars https://t.co/7J0Gwz89ZC","['Tesla recalls 2,700 Model X cars']",TSLA,-0.319,['Corporate/Risks/Product Recall'],post,2
Buffett's Company Reports 37 Percent Drop in 2Q Earnings,['Reports 37 Percent Drop in 2Q Earnings'],Berkshire Hathaway Inc.,-0.566,['Corporate/Company Communication'],headline,2
"$WGO's BoD was right to reject the offer. That company is low because of the economy, not because of any type of mismanagement or anything.",['was right to reject the offer'],WGO,0.076,['Corporate/M&A'],post,1
Unilever profit rises despite sales slump in China,['despite sales slump'],Unilever,0.213,['Corporate/Sales'],headline,0
"PRESS: Serco Set To Appoint Roy Gardner, Ex-Centrica, As Chairman - FT","['Set To Appoint Roy Gardner, Ex-Centrica, As Chairman - FT']",Centrica,0.195,['Corporate/Appointment'],headline,0
Hard to find new buyers of $TSLA at 250.  Shorts continue to pile in.,['Shorts continue to pile in.'],TSLA,-0.373,['Stock/Price Action/Volatility/Short Selling'],post,2
$FB (110.20) is starting to show some relative strength and signs of potential B/O on the daily.,['starting to show some relative strength and signs of potentia'],FB,0.334,['Stock/Price Action/Bullish/Bullish Behavior'],post,0
"$TSLA steaming up again, this stock is relentless at the moment","['steaming up again, this stock is relentless at the moment']",TSLA,0.535,['Stock/Price Action/Bullish/Bullish Behavior'],post,0
$AAPL wants lower. up waves getting smaller on the 2 min,['wants lower. up waves getting smaller'],AAPL,-0.37,['Stock/Price Action/Bearish/Bearish Behavior'],post,2
"Britain's FTSE steadies, supported by Dixons Carphone","['FTSE steadies, supported by Dixons Carphone']",Dixons Carphone,0.329,['Stock/Price Action'],headline,0
Insurers: Admiral blows hot and cold but Aviva soars pre-Friends Life merger,['Admiral blows hot and cold'],Friends Life,0.053,['Stock/Price Action/Volatility/Stock Volatility'],headline,1
$AAPL 620 resistance area,['620 resistance area'],AAPL,-0.025,['Stock/Technical Analysis'],post,1
InterContinental Hotels first-quarter global room revenue lags estimates,['first-quarter global room revenue'],InterContinental,-0.329,['Corporate/Sales'],headline,2
"$HAL If bulls lucky enuff to get an upside gap fill, better take it. Wouldn't chase it here. http://stks.co/r12Us","['If bulls lucky enuff to get an upside gap fill,']",HAL,0.054,['Stock/Price Action/Bullish/Bullish Behavior'],post,1
"UPDATE: EasyJet Passenger Numbers, Aer Lingus Traffic Up In February",['Traffic Up'],Aer Lingus,0.284,['Corporate/Sales'],headline,0
"$ADBE technical alerts: Expansion Breakout, Gilligan's Island Sell Setup, Volume Surge, and New 52... https://t.co/LxX66tknFH",['technical alerts'],ADBE,0.208,['Stock/Technical Analysis'],post,0
Randgold profit hit by poor gold price but dividend still increases,['dividend still increases'],Rangold,-0.052,['Corporate/Dividend Policy'],headline,1
"$WGO's BoD was right to reject the offer. That company is low because of the economy, not because of any type of mismanagement or anything.",['was right to reject the offer'],WGO,0.076,['Corporate/M&A'],post,1
#Tesla: Model X Recall Adds To Reliability Issues $TSLA https://t.co/jVXQ4DoXnP,['Recall Adds To Reliability Issues'],TSLA,-0.267,['Corporate/Risks/Product Recall'],post,2
UPDATE 1-Meggitt reiterates annual outlook after tough 2014,['reiterates annual outlook after tough 2014'],Meggitt,0.021,['Stock/Fundamentals'],headline,1
"Last month we added to our $GILD position and started a new one in $BWLD We see slow, steady, unspectacular growth going forward near term","['We see slow, steady, unspectacular growth going forward near term']",GILD,0.422,['Stock/Fundamentals'],post,0
"Despite sales growth, UK's Tesco cautions recovery to be bumpy","['Despite sales growth,']",Tesco,-0.077,['Corporate/Sales'],headline,1
InterContinental Hotels first-quarter global room revenue lags estimates,['first-quarter global room revenue'],InterContinental,-0.329,['Corporate/Sales'],headline,2
Breaking: Tesla recalls all Model X cars  .. details on show now $TSLA,['recalls all Model X cars'],TSLA,-0.308,['Corporate/Risks/Product Recall'],post,2
Royal Mail gets mixed bag from Ofcom postal regulation report,['postal regulation report'],Royal Mail,-0.084,['Corporate/Regulatory'],headline,1
New recommendation from Carl Kirst of BMO Capital Markets for $WMB is BUY.Price target is $62:http://stks.co/t0S0r,['New recommendation from Carl Kirst of BMO Capital Markets for'],WMB,0.566,['Stock/Coverage/AnalystRatings'],post,0
Double bottom with handle buy point of 29.51 $IP http://chart.ly/akvujxh,['Double bottom with handle buy point'],IP,0.446,['Stock/Technical Analysis'],post,0
#NDX component Tesla has announced it is recalling 2700 Model X SUVs. $TSLA,['announced it is recalling 2700 Model'],TSLA,-0.221,['Corporate/Risks/Product Recall'],post,2
"$NFLX small pos, short 180 wkly puts.","['small pos, short 180 wkly puts.']",NFLX,-0.597,['Stock/Options/Strategies/Bear Put Spread'],post,2
"Apple expected to launch new iPhone, iPad today $AAPL https://t.co/XfnICWeBeG",['Apple expected to launch new iPhone'],AAPL,0.264,['Corporate/Strategy/New Product'],post,0
Aviva shuts Friends Life head office in rapid integration move,['shuts Friends Life head office in rapid integration move'],Friends Life,-0.09,['Corporate/Strategy/Corporate Expansion'],headline,1
Exact (EXAS) Flagged As Strong On High Volume $EXAS http://stks.co/r26Ra,['Flagged As Strong On High Volume'],EXAS,0.385,['Stock/Price Action/Bullish'],post,0
"2nd raise this year.  ""@BVHealthcare: $QCOR Questcor Increases Quarterly Cash Dividend 20 Percent.. http://stks.co/goan""",['Increases Quarterly Cash Dividend'],QCOR,0.576,['Corporate/Dividend Policy'],post,0
"UK housing market steadies after Brexit dip, Persimmon says",['housing market'],Perssimon,0.339,['Market/Market'],headline,0
Royal Mail share price edges lower as group raises stamp price,['share price edges lower'],Royal Mail,-0.269,['Stock/Price Action'],headline,2
"$ESI on lows, down $1.50 to $2.50 BK a real possibility","['on lows, down $1.50 to $2.50']",ESI,-0.465,['Stock/Price Action/Bearish/Bearish Behavior'],post,2
RBS will reportedly appoint Howard Davies as its next chairman,['reportedly appoint Howard Davies as its next chairman'],RBS,0.089,['Corporate/Appointment'],headline,1
Berkshire Hathaway names Kara Raiguel to lead General Re unit,['names Kara Raiguel to lead General Re unit'],Berkshire,0.077,['Corporate/Appointment'],headline,1
"Ingenious, HSBC, UBS and Coutts sued by 'tax avoidance' clients",['sued by 'tax avoidance' clients'],Coutts,-0.248,['Corporate/Legal/Lawsuit'],headline,2
Severn Trent share price jumps as Canadian investor renews pursuit of utility,['share price jumps'],Severn Trent,0.433,['Stock/Price Action'],headline,0
SAB's Chairman Digs In With Board Divided on InBev Offer,['Digs In With Board Divided on InBev Offer'],SABMiller,0.016,['Corporate/Reputation/Dispute'],headline,1
AstraZeneca suffers setback after drug fails to treat eye cancer,['suffers setback'],AstraZeneca,-0.392,['Corporate/Risks'],headline,2
$WYNN big bounce,['big bounce'],WYNN,0.61,['Stock/Price Action/Bullish'],post,0
Investors Remain Skeptical About Shell-BG Deal,['Investors Remain Skeptical About Shell-BG Deal'],Shell,-0.266,['Corporate/Rumors/Rumors'],headline,2
$NVDA sideways,['sideways'],NVDA,0.0,['Stock/Price Action'],post,1
Academics claim Google Android two-factor authentication is breakable. #security #authentication #hacking $goog https://t.co/nJx4mnrGLo,['Android two-factor authentication is breakable'],GOOG,-0.309,['Corporate/Risks/Hacks'],post,2
Meggitt share price tumbles as profit falls in 'challenging year',['tumbles as profit falls in 'challenging year''],Meggitt,-0.854,['Stock/Price Action'],headline,2
Germanwings disaster will not affect image of budget air travel - easyJet,['will not affect image of'],Germanwings,-0.046,['Corporate/Reputation'],headline,1
Johnson Matthey revs up on clean air drive,['revs up on clean air drive'],Johnson Matthey,0.224,['Corporate/Strategy'],headline,0
Morrisons faces festive sales test,['festive sales test'],Morrisons,-0.113,['Corporate/Sales'],headline,2
$AMZN Trailing 12 months operating cash flow rose 48% to $4.98 billion & free cash flow decreased 63% to $388 million http://stks.co/c06zG,['Trailing 12 months operating cash flow'],AMZN,-0.009,['Corporate/Financial/Accounting/Cash Flow'],post,1
Eli Lilly & Co. (LLY) Has Broken Out To A New High On AstraZeneca Collaboration,['Has Broken Out To A New High'],Eli Lilly & Co,0.516,['Stock/Technical Analysis/Volume/Unusually high volume'],headline,0
"Goldman Sachs, Barclays, HSBC downplay Brexit threat",['downplay Brexit threat'],Barclays,0.0,['Corporate/Risks'],headline,1
Germanwings disaster will not affect image of budget air travel - easyJet,['will not affect image of'],Germanwings,-0.046,['Corporate/Reputation'],headline,1
InterContinental Hotels Denies Reports of Starwood Merger Talks,['Denies Reports of Starwood Merger Talks'],Starwood,-0.078,['Corporate/Rumors/Scoop'],headline,1
Windows 10 is awful why did it force an upgrade on my pc without my consent? #windows #Microsoft $msft,['is awful why did it force an upgrade on my pc without my consent?'],MSFT,-0.49,['Corporate/Risks/Product Flaws'],post,2
"$CNP Sell Short Position on CNP,...Closed for Profit $ 59,367.00 (7.75%) http://stks.co/ghjc",['Sell Short Position on'],CNP,0.155,['Stock/Price Action/Volatility/Short Selling'],post,0
"BHP Billiton slashes dividend, posts $5.67 billion net loss",['slashes dividend'],BHP Billiton,-0.341,['Corporate/Dividend Policy'],headline,2
$BAC $ADSK $NFLX long this morning,['long this morning'],NFLX,0.476,['Stock/Price Action/Bullish/Bull Position'],post,0
GSK joins China trade push as UK trumpets healthcare deals,['joins China trade push'],GSK,0.294,['Economy/Trade'],headline,0
Tesco sells half of stake in ecommerce site Lazada to Alibaba for ÃÂ£90m,['sells half of stake in ecommerce site Lazada to Alibaba for ÃÂ£90m'],Lazada,-0.038,['Stock/Price Action/Volatility/Sell-Off'],headline,1
"News FeedSchroders books solid earnings growth, several board changes",['s books solid earnings growth'],Schroders,0.5,['Stock/Fundamentals'],headline,0
longed $AMZN 300 @ 189.82,['longed'],AMZN,0.65,['Stock/Price Action/Bullish/Bull Position'],post,0
"$ZSL looking very weak, could be a good short setup.","['looking very weak, could be a good short setup.']",ZSL,-0.614,['Stock/Price Action/Bearish/Bearish Behavior'],post,2
Glencore sees Tripoli-based NOC as sole legal seller of Libyan oil,['as sole legal seller of Libyan oil'],Glencore,0.037,['Corporate/Legal'],headline,1
$PYPL great vol flow trade here.. Love this company long time.,['great vol flow trade here'],PYPL,0.408,['Stock/Price Action/Bullish'],post,0
Short interest increases yet again http://stks.co/e19h via @ryandetrick $SPY,['Short interest increases yet again'],SPY,-0.342,['Stock/Fundamentals/Short Interest Rate'],post,2
CompaniesMeggitt profits hit by weak energy and military markets,['profits hit by weak energy and military markets'],Meggitt,-0.302,['Market/Market'],headline,2
Glencore sees Tripoli-based NOC as sole legal seller of Libyan oil,['as sole legal seller of Libyan oil'],Glencore,0.037,['Corporate/Legal'],headline,1
Copper market may get a 2003-style supply shock from Glencore closures,['Copper market'],Glencore,-0.571,['Market/Market'],headline,2
$PLUG Closed short position. Small gain. Not interested in options expiring worthless,['Closed short position. Small gain.'],PLUG,0.143,['Stock/Price Action/Volatility/Short Selling'],post,0
$HCP Come to the party and buy this -gonna give solid gains and a dividend $$$$$$,['gonna give solid gains and a dividend'],HCP,0.52,['Corporate/Dividend Policy'],post,0
@gakrum nice chart shows distinctive down channel not a dip.. where do you see the bottom? $SPY ..$150? ..$130?,['chart shows distinctive down channel'],SPY,-0.443,['Stock/Technical Analysis'],post,2
Japan's Asahi to submit bid next week for SABMiller's Grolsch and Peroni - Yomiuri,['to submit bid next week'],SABMiller,0.236,['Stock/Buyside/Stock Buyside'],headline,0
"Tesla Motors recalls 2,700 Model X SUVs $TSLA https://t.co/F55dx4aegI","['recalls 2,700 Model X SUVs']",TSLA,-0.307,['Corporate/Risks/Product Recall'],post,2
CRH's concrete bid for Holcim Lafarge assets,['concrete bid for Holcim Lafarge assets'],Holcim Lafarge,0.282,['Stock/Signal/Buy Signal'],headline,0
Doubts grow over GlaxoSmithKline's $6 bln capital return plan,['$6 bln capital return plan'],GlaxoSmithKline,-0.221,['Corporate/Dividend Policy'],headline,2
"$XLF http://stks.co/1KJ9 Bounced off target buy area, bought $skf as a hedge. watch 50ma's slope","[""watch 50ma's slope""]",XLF,-0.299,['Stock/Technical Analysis'],post,2
"$TSLA looking good..i'd love to see a basing action here, letting the RSI take a breather. http://stks.co/g1T7c",['letting the RSI take a breather.'],TSLA,0.362,['Stock/Technical Analysis'],post,0
France raises concerns over proposed LSE-Deutsche Boerse deal,[' raises concerns over proposed..'],LSE,-0.347,['Corporate/Risks/Sale Halt'],headline,2
"Qualcomm: 10% Dividend Increase Rewards Patient Investors, The Future Looks Bright https://t.co/TJjVpqhHqD $QCOM",['Dividend Increase Rewards Patient Investors'],QCOM,0.484,['Corporate/Dividend Policy'],post,0
Sold some $TSLA Puts this morning Closed them at the close. Helps pay for monthly expenses,['Sold some $TSLA Puts this morning'],TSLA,-0.043,['Stock/Price Action/Bearish/Bear Position'],post,1
@NASDboy I think the DNF crew can get this $NFLX short into the next 30 days heading into earnings,['short into the next 30 days heading into earnings'],NFLX,-0.308,['Stock/Price Action/Bearish/Bearish Behavior'],post,2
RT @tomhend777 $MU needs to hold here -Broken for now. Needs big flush. Still not technically oversold so now big bounce yet,['Still not technically oversold so now big bounce yet'],MU,-0.046,['Stock/Technical Analysis'],post,1
CompaniesActelion shares hit record on Shire takeover talk,['Shire takeover talk'],Actelion,0.721,['Corporate/Rumors'],headline,0
Valeant Names Interim Leader as CEO Remains Hospitalized,['Interim Leader as CEO Remains Hospitalized'],Valeant,0.0,['Corporate/Appointment'],headline,1
BRIEF-Legal & General's retirement business books 4 billion stg H1 sales,['books 4 billion stg H1 sales'],Legal & General,0.252,['Corporate/Sales'],headline,0
Why $TWTR is doomed in 1 chart $FB $GOOG  https://t.co/MpyLiReQjh https://t.co/nlcZawDoHP,['doomed in 1 chart'],GOOG,-0.07,['Stock/Technical Analysis'],post,1
Companies Thetrainline.com announces arrival of London IPO,['announces arrival of London IPO'],Thetrainline.com,0.245,['Stock/IPO'],headline,0
AB InBev to Sell SABMiller Stake in China's Snow Beer,['to Sell SABMiller Stake in'],SABMiller,-0.045,['Stock/Signal/Sell Signal'],headline,1
UK WINNERS & LOSERS: Aviva And Friends Life Lead FTSE 100 Gainers,['FTSE 100 Gainers'],Friends Life,0.516,['Market/Market/Market Trend'],headline,0
AstraZeneca Teams With Daiichi Sankyo To Sell Movantik In US,['Teams With Daiichi Sankyo To Sell Movantik In US'],Daiichi Sankyo,0.364,['Corporate/Sales/Partnership'],headline,0
Whitbread boss Andy Harrison defends sales fall as 'just a blip',['defends sales fall as 'just a blip''],Whitbread,-0.1,['Corporate/Sales'],headline,1
@BULLYA @pollux654321 My 50 $KORS 80 Calls are going to b a Blessing for my Daughters tuition!,['Calls are going to b a Blessing for my Daughters tuition'],KORS,0.431,['Stock/Price Action/Bullish'],post,0
MillerCoors Board Names Gavin Hattersley Interim CEO,['Board Names Gavin Hattersley Interim CEO'],MillerCoors,0.0,['Corporate/Appointment'],headline,1
$FB Nice buyable intraday dip right here,['Nice buyable intraday dip right here'],FB,0.492,['Stock/Price Action/Bullish'],post,0
UPDATE 3-Auto Trader shares leap in UK's biggest private equity-backed listing,['shares leap in UK's biggest private equity-backed listing'],Auto Trader,0.641,['Stock/IPO'],headline,0
$DISH weakness continues again. 49.43 area resistance after last week,['weakness continues again'],DISH,-0.41,['Stock/Price Action/Bearish'],post,2
GlaxoSmithKline starts hunt for successor to CEO Witty,['starts hunt for successor to CEO'],GlaxoSmithKline,0.0,['Corporate/Appointment/Executive Appointment'],headline,1
"Tesla to recall 2,700 Model X SUVs over seat issue https://t.co/OdPraN59Xq $TSLA https://t.co/xvn4blIwpy https://t.co/ThfvWTnRPs","['Tesla to recall 2,700 Model X SUVs over seat issue']",TSLA,-0.31,['Corporate/Risks/Product Recall'],post,2
@saltwaternurse $INO can test 10 again in next few days. time to take some profits here. or hedge with puts.,['time to take some profits here'],INO,-0.169,['Stock/Price Action/Bearish'],post,2
Mylan Appoints Ranjan Ray Chaudhuri as Global Commercial Lead for Mylan's Over ...,['Appoints Ranjan Ray Chaudhuri as Global Commercial Lead'],Mylan,0.0,['Corporate/Appointment'],headline,1
$HZNP havent seen vol like this since the runup. lets see one more dip to 2.0x,['lets see one more dip to 2.0x'],HZNP,-0.274,['Stock/Price Action/Bearish/Bearish Behavior'],post,2
$BBRY Ready for Take OFF!,['Ready for Take OFF!'],BBRY,0.472,['Stock/Price Action/Bullish'],post,0
$ACAD under $2 today?,['under $2 today?'],ACAD,-0.164,['Stock/Price Action/Bearish/Bearish Behavior'],post,2
"$BRK.B $SPY  All time high tomorrow? 150k on the A shares, Dec 13, 2007.",['All time high tomorrow?'],SPY,0.297,['Stock/Price Action/Bullish/Bullish Behavior'],post,0
News FeedFTSE 100 movers: LSE surges as ICE says mulling offer; Ashtead and Barclays tank,['LSE surges as ICE says mulling offer'],ICE,0.226,['Corporate/M&A'],headline,0
Keith Skeoch to step up as David Nish quits as chief executive of Standard Life,['David Nish quits as chief executive'],Standard Life,-0.09,['Corporate/Appointment'],headline,1
